video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=oav061mcB-k&pp=ygUHaGsgdmxvZw%3D%3D,/@juliafei,julia fei,Hong Kong Travel Vlog 🇭🇰 | where to eat & what to do for a quick day trip,100K,6 months,"Hello friends, Presenting a surprise travel vlog of my quick trip to Hong Kong with my dad! There's so much to do and even more to ...",2024-01-29 16:20:23.119028
/watch?v=1r9q012K3jc&pp=ygUHaGsgdmxvZw%3D%3D,/@LoisYou,Lois You 로이스,"HONG KONG TRAVEL VLOG | first time in HK, exploring the city, best places to eat, & meeting friends!",238K,9 months,It was my first time in Hong Kong and I absolutely loved it (even though I lost my voice sorry for the lack of talking at the end).,2024-01-29 16:20:23.120923
/watch?v=YYZVd0CYi_w&pp=ygUHaGsgdmxvZw%3D%3D,/@kryzzzie,Kryzzzie,"Hong Kong Disneyland, Sevi’s First Roller Coaster, Playing Hide and Seek",185K,1 day,"Took the kids to HongKong Disneyland with some friends and had such an amazing time. I was scared to go on this trip at first, ...",2024-01-29 16:20:23.127001
/watch?v=ILKt4SflOl4&pp=ygUHaGsgdmxvZw%3D%3D,/@SamandVictor,Sam and Victor,hong kong vlog | getting our home cafe ready for chinese new year,5.5K,3 hours,getting ready for the year of the dragon by turning our home cafe into a mini lantern street please turn on subtitles/subtítulos/ ...,2024-01-29 16:20:23.131884
/watch?v=BtYDtd7_5rs&pp=ygUHaGsgdmxvZw%3D%3D,/@NicaTripoli,Nica Tripoli,"VLOG•HONGKONG TRIP🇭🇰a week Family Vacation:peak tram,ngongping 360,tsim sha tsui|Pt.1|Nica Tripoli",2.6K,2 weeks,Helloo mga beshies!! This is it na!! My new vlog is now up❤️ soo excited to share this with you our first ever out of the country ...,2024-01-29 16:20:32.025871
/watch?v=h08tucqDG9I&pp=ygUHaGsgdmxvZw%3D%3D,/@katrinagem,Katrina Gem,"hong kong travel vlog 🇭🇰 hiked the peak, visitor voucher, bakehouse, hong kong cafes stationery shop",11K,1 month,"A quick 70-hour~ getaway to HK with my parents. Hiked up the peak for a beautiful view of the city, lined up for bakehouse egg ...",2024-01-29 16:20:32.027967
/watch?v=iQFhzroaF-I&pp=ygUHaGsgdmxvZw%3D%3D,/@SamandVictor,Sam and Victor,4 days in hong kong,716K,11 months,please turn on subtitles/subtítulos/字幕/자막/sous-titres/副标题/Untertitel/ซับไตเติ้ล/ تَرْجَمة under 'cc' for all languages pov: we're ...,2024-01-29 16:20:32.047632
/watch?v=PmucdCVL-y4&pp=ygUHaGsgdmxvZw%3D%3D,/@somethingscarlett,something scarlett,"vlog: life lately 🫧 winter break, solo shopping in the city, going out w/ friends, life in hong kong",15K,4 weeks,"it's winter break! ₊˚⊹｡ hello! this is a daily vlog of my daily life, ft. local eats, hanging out with friends, solo dates, city exploration, ...",2024-01-29 16:20:32.050591
/watch?v=71_bboAHPlU&pp=ygUHaGsgdmxvZw%3D%3D,/@tracysohn,saranghoe,"STUDY ABROAD DIARIES: first days in hong kong, moving into dorms, hike to the peak, settling in",157K,1 day,୨୧⋆socials instagram: sarang.hoe tiktok: tracyy_s spotify: tracu https://open.spotify.com/user/oh6ta3a... pinterest: ...,2024-01-29 16:20:32.057583
/watch?v=R4y1DFUh61A&pp=ygUHaGsgdmxvZw%3D%3D,/@SamandVictor,Sam and Victor,"hong kong vlog | christmas afternoon tea, aqua luna and decorations around the city",87K,1 month,"from afternoon tea to aqua luna, here's a few things we did for the festive season! please turn on subtitles/subtítulos/字幕/ ...",2024-01-29 16:20:32.067547
/watch?v=akF4pWx-iao&pp=ygUHaGsgdmxvZw%3D%3D,/@jickayvlogofficial4135,Jickay Vlog Official,Tai ko to Quarry bay Park Hongkong Jickay Vlog Official,116,2 days,Seaside Park Hongkong.,2024-01-29 16:20:32.070033
/watch?v=jWgWjfrljj0&pp=ygUHaGsgdmxvZw%3D%3D,/@ambie,ambi,"VLOG | Hong Kong, so much FOOD, Disneyland!, temples, fishing village 🫧",100K,10 months,Hiiii New vlog! Exciting stuff because Ambi is in asiaaaaa first stop is Hong Kong! I filmed a bunch of camera footage in the ...,2024-01-29 16:20:32.079663
/watch?v=TSvP4FCNpP4&pp=ygUHaGsgdmxvZw%3D%3D,/@dgmanila,David Guison,4 Days in Hong Kong | The best food & shopping finds!,94K,3 months,0:00 Intro 0:47 Cathay Pacific Lounge 3:02 Arriving in HK 3:27 Checking-in at Prince Hotel 6:26 HK Itinerary 7:07 Exploring TST ...,2024-01-29 16:20:32.083607
/watch?v=pMLy0IPEvu8&pp=ygUHaGsgdmxvZw%3D%3D,/@kryzzzie,Kryzzzie,"Bestfriends Trip to HK, We went shopping!, A lot of hauls (zara, ck, lululemon, citysuper)",334K,7 months,Went on a sponty trip with my bestie to HongKong after a conversation about feeling burnt out. We really had no agenda. We just ...,2024-01-29 16:20:32.086157
/watch?v=LzqnI6fBWGk&pp=ygUHaGsgdmxvZw%3D%3D,/@JenBarangan,Jen Barangan,Hong Kong and Macau Travel Guide | Expenses and Itinerary | Jen Barangan,228K,7 months,Take a trip down memory lane with me as I share about my unforgettable first trip to Hong Kong and Macau! From exploring the ...,2024-01-29 16:20:32.090351
/watch?v=sSZccHYdurI&pp=ygUHaGsgdmxvZw%3D%3D,/@allisonyou,Allison You,"hong kong travel vlog 🇭🇰 best dim sum i've had, cafe hopping, city views, first time in hk",17K,5 months,I am so happy to be back in Asia and exploring Hong Kong for the first time Despite some weather issues (it's typhoon season!),2024-01-29 16:20:32.096378
/watch?v=I-Ko4NnEako&pp=ygUHaGsgdmxvZw%3D%3D,/@JanandAnn,Jan and Ann,ENTERING HONG KONG! 🇭🇰 What is it like?,194K,8 months,"We're back in East Asia, and our first destination is HONG KONG! Come join us on this thrilling adventure through the VIBRANT ...",2024-01-29 16:20:32.098844
/watch?v=SXqdwkINmCc&pp=ygUHaGsgdmxvZw%3D%3D,/@JmBanquicio,Jm Banquicio,Let's go to Hong Kong with Papang! + Travel tips + Hotel Room Tour! 🇭🇰 | Jm Banquicio,103K,7 months,"They say, third time is the charm! Let's go to Hong Kong with Papang! :) Enjoy watching! Connect with me! Facebook: ...",2024-01-29 16:20:32.107300
/watch?v=ms_qAZiHgPA&pp=ygUHaGsgdmxvZw%3D%3D,/@JanandAnn,Jan and Ann,This is what SHOPPING in Hong Kong is like! 🇭🇰,424K,8 months,"Hong Kong is famous for its vibrant and lively shopping scene! Whether it's luxurious malls or bustling flea markets, you will ...",2024-01-29 16:20:32.113409
/watch?v=lIeU6kZ9RIM&pp=ygUHaGsgdmxvZw%3D%3D,/@ellawng,ella wang,"[TRAVEL DIARIES] °. •♡ exploring hong kong, new nails, lots of eating + shopping, cute haul",49K,8 months,̈ socials Instagram: ellawngg email: ella@select.co spotify: e.llawang ˋ♡｡⋆faq name: ella age: 18 ethnicity: Chinese camera: ...,2024-01-29 16:20:32.117646
/watch?v=n-R-nWUugj4&pp=ygUHaGsgdmxvZw%3D%3D,/@jlinhh,JLINHH,Hong Kong Travel Guide: What to eat + do in 3 days! 🇭🇰,109K,8 months,"Hiii!! I've finally made my way back to Hong Kong after 5 years, and even though this is quick trip I'll be sharing everything we ate ...",2024-01-29 16:20:39.477411
/watch?v=LMfhIVyIsVM&pp=ygUHaGsgdmxvZw%3D%3D,/@SamandVictor,Sam and Victor,hong kong vlog | life without masks (finally),70K,10 months,"on march 1 and 945 days later, masks have finally become OPTIONAL both indoor and outdoors in hong kong! We are officially ...",2024-01-29 16:20:39.481549
/watch?v=3NvpuSVX_e8&pp=ygUHaGsgdmxvZw%3D%3D,/@JovanePhang,Jovane PJY,"Hong Kong Travel Vlog 🇭🇰 citywalk, shopping, food hunting day in Causeway Bay",107K,4 months,hey guys & welcome to my channel! ♡ IG : https://instagram.com/jovanepjy?igshi... Business inquiries: holaisbusy@gmail.com ...,2024-01-29 16:20:39.485336
/watch?v=23oNGk-Hc_w&pp=ygUHaGsgdmxvZw%3D%3D,/@AudreyYung,Audrey Yung,A Day in My Life as a Medical Student in Hong Kong 🩺 港大醫科生的一天,431K,10 months,"Follow me on a day in my life as a 2nd year medical student at the University of Hong Kong. Hi fwends, I'm back! I've always ...",2024-01-29 16:20:39.489494
/watch?v=aLQxO6EipCk&pp=ygUHaGsgdmxvZw%3D%3D,/@escapesweetest,escapesweetest,"Hong Kong Vlog Day 3 - Montane Mansion, Victoria Peak, Chung Wui Building",15,4 hours,On day 3 we decided to visit those instagram hotspot to take pinterest worthy pics. Would definitely recommend Chung Wui ...,2024-01-29 16:20:39.493643
/watch?v=A_fJVc4tI7U&pp=ygUHaGsgdmxvZw%3D%3D,/@gmapublicaffairs,GMA Public  Affairs,Budget-friendly tour in Hong Kong (Full episode) | Biyahe ni Drew,178K,7 months,"Aired (May 17, 2013): Traveling in Hong Kong doesn't have to be expensive! Join Biyahero Drew as he discovers some thrift finds ...",2024-01-29 16:20:39.496435
/watch?v=M6nhZqtqCEU&pp=ygUHaGsgdmxvZw%3D%3D,/@miadeuna,Mia Deuna,Hong Kong Vlog | 4  Days Travel Guide,25,2 hours,My first international trip with noy Trip to Hong Kong yung grand prize sa company raffle last year kaya habang nagpaparaffle ...,2024-01-29 16:20:39.498761
/watch?v=C-GIwqCxvjw&pp=ygUHaGsgdmxvZw%3D%3D,/@Travelwithtweety,Travel with tweety,MY FIRST VLOG 2024 ||Hong kong|| Disneyland,No,13 hours,"My First vlog || Travel with tweety || Hong kong || Hello, my name is saman rose and I am a new vlogger. I am really excited to start ...",2024-01-29 16:20:39.500561
/watch?v=_Mvpcmdctvk&pp=ygUHaGsgdmxvZw%3D%3D,/@srasvlog1085,SRAS VLOG,Hong Kong Disneyland walking trail ||#disney #hk #hongkong #disneychannel #disneyworld,No,9 hours,Hong Kong Disneyland walking trail ||#disney #hk #hongkong #disneychannel #disneyworld Welcome to our vlog channel about ...,2024-01-29 16:20:39.503257
/watch?v=j7S-FCxB7bI&pp=ygUHaGsgdmxvZw%3D%3D,/@WilliamRandomUploads,William | Random Uploads,"Day 2 of Hong Kong Travel Vlog 🇭🇰 Victoria Peak, Michelin Stars Food, IFC Mall, Night view 🌃",13,4 hours,"Day 2 for my Hong Kong Travel Vlog, it's a lengthy video but truly showcases my experience in Hong Kong well Went on a 5 ...",2024-01-29 16:20:39.506537
/watch?v=nnmafEqi8pE&pp=ygUHaGsgdmxvZw%3D%3D,/@TeamCasilVlogs,TeamCasil Vlogs,DIY HONG KONG VLOG PART 1: FROM NAIA TO HKIA + FOREX SA CHUNGKING MANSIONS,74K,4 months,Music promoted by Audio Library • Beach – Sakura Girl (No Copyright Music) ✨ ️TeamCasil Vlogs ✨️ Karenn • Kavee • Bryann ...,2024-01-29 16:20:39.510528
