video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=ILKt4SflOl4&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@SamandVictor,Sam and Victor,hong kong vlog | getting our home cafe ready for chinese new year,5.4K,3 hours,getting ready for the year of the dragon by turning our home cafe into a mini lantern street please turn on subtitles/subtítulos/ ...,2024-01-29 16:18:05.281325
/watch?v=oav061mcB-k&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@juliafei,julia fei,Hong Kong Travel Vlog 🇭🇰 | where to eat & what to do for a quick day trip,100K,6 months,"Hello friends, Presenting a surprise travel vlog of my quick trip to Hong Kong with my dad! There's so much to do and even more to ...",2024-01-29 16:18:05.285005
/watch?v=YYZVd0CYi_w&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@kryzzzie,Kryzzzie,"Hong Kong Disneyland, Sevi’s First Roller Coaster, Playing Hide and Seek",185K,1 day,"Took the kids to HongKong Disneyland with some friends and had such an amazing time. I was scared to go on this trip at first, ...",2024-01-29 16:18:05.287732
/watch?v=1r9q012K3jc&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@LoisYou,Lois You 로이스,"HONG KONG TRAVEL VLOG | first time in HK, exploring the city, best places to eat, & meeting friends!",238K,9 months,It was my first time in Hong Kong and I absolutely loved it (even though I lost my voice sorry for the lack of talking at the end).,2024-01-29 16:18:05.290365
/watch?v=71_bboAHPlU&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@tracysohn,saranghoe,"STUDY ABROAD DIARIES: first days in hong kong, moving into dorms, hike to the peak, settling in",157K,1 day,୨୧⋆socials instagram: sarang.hoe tiktok: tracyy_s spotify: tracu https://open.spotify.com/user/oh6ta3a... pinterest: ...,2024-01-29 16:18:05.292873
/watch?v=iQFhzroaF-I&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@SamandVictor,Sam and Victor,4 days in hong kong,716K,11 months,please turn on subtitles/subtítulos/字幕/자막/sous-titres/副标题/Untertitel/ซับไตเติ้ล/ تَرْجَمة under 'cc' for all languages pov: we're ...,2024-01-29 16:18:05.296617
/watch?v=vsZ35qJlCaE&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@CaroPensieve,Caro Pensieve,Discover the Best of Hong Kong in 4 Days: A Travel Itinerary 2023,198K,5 months,Hello! We went to Hong Kong in early Aug 2023. We'll be taking you around Hong Kong to some of the top tourist places like The ...,2024-01-29 16:18:05.300608
/watch?v=a2_ID6ZJzqU&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@ItsYuyan,itsyuyan,48 hours in Hong Kong | exploring the city and local foods,76K,2 months,"spend 48 hours with me in hong kong! hong kong travel vlog including walking around the city, finding local foods and coffee ...",2024-01-29 16:18:05.303329
/watch?v=pvAh4yTF31g&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@SamandVictor,Sam and Victor,"hong kong vlog | vintage coffee shops, jazz bar and peak tram hike",103K,3 weeks,our first vlog back in hong kong! please turn on subtitles/subtítulos/字幕/자막/sous-titres/副标题/Untertitel/ซับไตเติ้ล/تَرْجَمة under ...,2024-01-29 16:18:05.306944
/watch?v=akF4pWx-iao&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@jickayvlogofficial4135,Jickay Vlog Official,Tai ko to Quarry bay Park Hongkong Jickay Vlog Official,116,2 days,Seaside Park Hongkong.,2024-01-29 16:18:05.309511
/watch?v=PxPxiOrCkXs&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@TwosomeTravellers,Twosome Travellers,TOP 24 BEST THINGS to do in HONG KONG 2023,140K,8 months,VLOG 085 #hongkong #topthingstodo #hongkongtouristspot The only Hong Kong Itinerary you need! We share with you the TOP ...,2024-01-29 16:18:05.313612
/watch?v=QhdHd3bab6c&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@SamandVictor,Sam and Victor,hong kong vlog | life in the most aesthetic city ✨,124K,7 months,thank you CASETiFY for sponsoring a segment of this video! get 15% off your next order with our promo code: 15SNV 0:00 new ...,2024-01-29 16:18:05.317375
/watch?v=4ngvf4-m7Ls&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@LisaAndJosh,Lisa and Josh,3 Days in Hong Kong on a Budget 🇭🇰,317K,6 months,"We're back with another one, Hong Kong was a budget challenge like nowhere else. This time we have 3 days in Hong Kong ...",2024-01-29 16:18:05.320084
/watch?v=n-R-nWUugj4&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@jlinhh,JLINHH,Hong Kong Travel Guide: What to eat + do in 3 days! 🇭🇰,109K,8 months,"Hiii!! I've finally made my way back to Hong Kong after 5 years, and even though this is quick trip I'll be sharing everything we ate ...",2024-01-29 16:18:05.333842
/watch?v=sSZccHYdurI&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@allisonyou,Allison You,"hong kong travel vlog 🇭🇰 best dim sum i've had, cafe hopping, city views, first time in hk",17K,5 months,I am so happy to be back in Asia and exploring Hong Kong for the first time Despite some weather issues (it's typhoon season!),2024-01-29 16:18:05.336534
/watch?v=nnmafEqi8pE&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@TeamCasilVlogs,TeamCasil Vlogs,DIY HONG KONG VLOG PART 1: FROM NAIA TO HKIA + FOREX SA CHUNGKING MANSIONS,74K,4 months,Music promoted by Audio Library • Beach – Sakura Girl (No Copyright Music) ✨ ️TeamCasil Vlogs ✨️ Karenn • Kavee • Bryann ...,2024-01-29 16:18:05.342899
/watch?v=I-Ko4NnEako&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@JanandAnn,Jan and Ann,ENTERING HONG KONG! 🇭🇰 What is it like?,194K,8 months,"We're back in East Asia, and our first destination is HONG KONG! Come join us on this thrilling adventure through the VIBRANT ...",2024-01-29 16:18:05.349208
/watch?v=aKj6Qz3JF7I&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@hizonfamadventures,Hizon Fam Adventures,Hong Kong Vlog: Itinerary + P30k ALL IN budget for 6D5N,14K,2 months,Hello guys! Please support our channel by simply clicking the SUBSCRIPTION button.. And press LIKE and SHARE if you enjoyed ...,2024-01-29 16:18:05.355163
/watch?v=TSvP4FCNpP4&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@dgmanila,David Guison,4 Days in Hong Kong | The best food & shopping finds!,94K,3 months,0:00 Intro 0:47 Cathay Pacific Lounge 3:02 Arriving in HK 3:27 Checking-in at Prince Hotel 6:26 HK Itinerary 7:07 Exploring TST ...,2024-01-29 16:18:05.359033
/watch?v=Q8RtFFKEMgE&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@SamandVictor,Sam and Victor,hong kong vlog | summer with new friends and cooking at home,149K,7 months,extrovert battery level drained for this week (jk) 0:00 new nails & pinterest breakfast 3:31 kowloon city + namkok cafe 7:09 dinner ...,2024-01-29 16:18:05.367185
/watch?v=fl_kXsQ-jwE&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@somethingscarlett,something scarlett,"vlog 🌷: life in hong kong, day out w/ friends, cafes + bakery, lots of food & shopping, daily life",7.8K,9 days,"hello! in this slice of life vlog, I show you my daily life where I visit aesthetic cafes with friends, go to the mall and grocery shopping, ...",2024-01-29 16:18:12.934540
/watch?v=PmucdCVL-y4&pp=ygUOaG9uZyBrb25nIHZsb2c%3D,/@somethingscarlett,something scarlett,"vlog: life lately 🫧 winter break, solo shopping in the city, going out w/ friends, life in hong kong",15K,4 weeks,"it's winter break! ₊˚⊹｡ hello! this is a daily vlog of my daily life, ft. local eats, hanging out with friends, solo dates, city exploration, ...",2024-01-29 16:18:12.939536
